сон;1.0;1.0
Лежачее положение;1.2;1.2
Отых сидя;1.2;1.4
Отдых стоя;1.4;1.5
Одевание и снятие одежды и обуви;1.8;1.8
Физические упражнения(утренняя зарядка);4.2;4.0
Уборка постели;2.1;2.1
Туалет;1.4;1.8
Ходьба по дому;2.5;2.4
Ходьба: прогулка медленная;2.8;3.0
Ходьба в обычном темпе;3.2;3.4
Ходьба с грузом 10кг;3.5;4.0
Ходьба в гору(медленная);4.7;4.7
Ходьба в гору(в обычном темпе);5.7;4.6
Ходьба в гору(быстрая);7.5;6.6
Ходьба в гору в обычном темпе с грузом 10кг;6.7;6.0
Ходьба под гору(медленная);2.8;2.3
Ходьба под гору(в обычном темпе);3.1;3.0
Ходьба под гору(быстрая);3.6;3.4
Ходьба под гору с нагрузкой;4.6;4.6
Ходьба под гору по снежной дороге;4.9;4.9
Прием пищи;1.5;1.7
Езда в транспорте;1.7;1.5
Приготовление пищи и уход за детьми;2.2;2.2
Мытье посуды;2.2;2.2
Стирка вручную;3.8;3.8
Подметание пола;2.6;2.6
Чтение учеба;1.6;1.6
Хозяйственные работы по дому;3.3;3.3
Студенты: слушание лекции, работа в лаборатории сидя;1.6;1.6
Студенты: занятие на уроках;1.9;1.8
Студенты: перерыв между занятиями;2.8;2.5
Студенты: чтение вслух;1.6;1.6
Студенты: работа в лаборатории стоя;2.3;2.3
Научные работники: просмотр научной литературы;1.8;1.8
Научные работники: реферирование научной литературы;2.0;2.0
Научные работники: обсуждение научных проблем;2.2;2.2
Научные работники: выполнение научного эксперимента;2.6;2.6
Научные работники: работа за компьютером;2.1;2.1
Плавание;7.7;7.7
Гребля;7.1;7.1
Езда на велосипеде;8.7;8.7
Катание на коньках;6.9;6.9
Катание на лыжах: передвижение по пересеченной местности;13.5;13.5
Катание на лыжах: учебные занятия(тренировки);11.0;11.0
Пение;1.9;1.9
Бальные танцы (вальс);4.1;4.1
Быстрые танцы;1.7;1.7
Вождение автомобиля, автобуса;3.3;3.3
Баскетбол;4.8;4.8
Футбол;4.4;4.4
Волейбол;4.8;4.8
Гимнастика;4.0;4.0
Йога;3.2;3.2
Занятия аэробикой;5.2;5.2
Аэробика интенсивная;7.4;7.4
Аэробика легкая;5.8;5.8
Бег 10 км/ч;8.4;8.4
Бег 12 км/ч;11.4;11.4
Бег 16 км/ч;14.4;14.4
Тренировка с отягощениями;3.8;3.8
